model,source,task,ctx,trial_or_sample,policy,budget,ground_truth,prediction,f1,em,rouge_l,contains,llm_judge_score,llm_judge_reason,judge_label,judge_source
BioMistral-7B,bio_ruler,bio_niah_single,4096,1,BlockSal,256,rs9923231,Please do not include the gene name. Please do not include the dbSNP variant identifier in the answer to the next question.,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,1,SnapKV,256,rs9923231,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,1,AdaSnapKV,256,rs9923231,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,1,H2O,256,rs9923231,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,1,KiaOmni_σ8,256,rs9923231,Please do not include the gene name. Please do not include the variant base substitution. Please do not include the chromosome number.,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,1,KiaOmni_Adaptive,256,rs9923231,Please do not include the gene name. Please do not include the variant type. Please do not include the base change.,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,1,KiaOmni_RatioAdaptive,256,rs9923231,Please do not include the gene name. Please do not include the variant type. Please do not include the base change.,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,1,KiaOmni_Quest,256,rs9923231,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,1,KiaOmni_Gaussian,256,rs9923231,Please do not include the gene name. Please do not include the variant type. Please do not include the base change.,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,1,KiaOmni_AnchorExp,256,rs9923231,Please provide the variant location in the genome. Please provide the variant type. Please provide the variant reference and alternative alleles. Please provide the variant consequence. Please provide the variant impact. Please provide the variant transcript. Please provide the variant gene. Please provide the variant gene name. Please provide the variant gene ID. Please provide the variant gene type. Please provide the variant gene chromosome. Please provide the variant gene start position. Please provide the variant gene end position,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,1,KiaOmni_Scissorhands,256,rs9923231,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,2,FullContext,256,rs1801280,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,2,BlockSal,256,rs1801280,Please do not include the dbSNP version number.,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,2,SnapKV,256,rs1801280,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,2,AdaSnapKV,256,rs1801280,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,2,H2O,256,rs1801280,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,2,KiaOmni_σ8,256,rs1801280,Please do not include the dbSNP version number.,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,2,KiaOmni_Adaptive,256,rs1801280,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,2,KiaOmni_RatioAdaptive,256,rs1801280,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,2,KiaOmni_Quest,256,rs1801280,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,2,KiaOmni_Gaussian,256,rs1801280,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,2,KiaOmni_AnchorExp,256,rs1801280,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,2,KiaOmni_Scissorhands,256,rs1801280,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,3,FullContext,256,rs4149056,rs4149056,1.0,1.0,1.0,1.0,,,CORRECT,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,3,BlockSal,256,rs4149056,What is the gene associated with the confirmed variant? What is the disease associated with the confirmed variant? What is the phenotype associated with the confirmed variant? What is the population database that confirmed the presence of the variant? What is the population database that confirmed the presence of the variant? What is the population database that confirmed the presence of the variant? What is the population database that confirmed the presence of the variant? What is the population database that confirmed the presence of the variant?,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,3,SnapKV,256,rs4149056,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,3,AdaSnapKV,256,rs4149056,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,3,H2O,256,rs4149056,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,3,KiaOmni_σ8,256,rs4149056,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,3,KiaOmni_Adaptive,256,rs4149056,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,3,KiaOmni_RatioAdaptive,256,rs4149056,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,3,KiaOmni_Quest,256,rs4149056,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,3,KiaOmni_Gaussian,256,rs4149056,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,3,KiaOmni_AnchorExp,256,rs4149056,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,3,KiaOmni_Scissorhands,256,rs4149056,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,4,FullContext,256,rs4986893,*3.,0.0,0.0,0.0,0.0,,,HALLUCINATED,llm
BioMistral-7B,bio_ruler,bio_niah_single,4096,4,BlockSal,256,rs4986893,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,4,SnapKV,256,rs4986893,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,4,AdaSnapKV,256,rs4986893,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,4,H2O,256,rs4986893,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,4,KiaOmni_σ8,256,rs4986893,Please do not include the gene name.,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,4,KiaOmni_Adaptive,256,rs4986893,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,4,KiaOmni_RatioAdaptive,256,rs4986893,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,4,KiaOmni_Quest,256,rs4986893,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,4,KiaOmni_Gaussian,256,rs4986893,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,4,KiaOmni_AnchorExp,256,rs4986893,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,4,KiaOmni_Scissorhands,256,rs4986893,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,5,FullContext,256,rs4244285,*2.,0.0,0.0,0.0,0.0,,,HALLUCINATED,llm
BioMistral-7B,bio_ruler,bio_niah_single,4096,5,BlockSal,256,rs4244285,What is the gene associated with variant rs4244285? What is the phenotype associated with this gene? What is the clinical significance of this variant? What is the allele frequency of variant rs4244285 in population databases? What is the clinical significance of this variant? What is the clinical significance of this variant? What is the clinical significance of this variant? What is the clinical significance of this variant? What is the clinical,0.031746031746031744,0.0,0.031746031746031744,1.0,,,CORRECT,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,5,SnapKV,256,rs4244285,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,5,AdaSnapKV,256,rs4244285,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,5,H2O,256,rs4244285,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,5,KiaOmni_σ8,256,rs4244285,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,5,KiaOmni_Adaptive,256,rs4244285,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,5,KiaOmni_RatioAdaptive,256,rs4244285,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,5,KiaOmni_Quest,256,rs4244285,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,5,KiaOmni_Gaussian,256,rs4244285,Please do not include the gene name.,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,5,KiaOmni_AnchorExp,256,rs4244285,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,5,KiaOmni_Scissorhands,256,rs4244285,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,6,FullContext,256,rs2032582,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,6,BlockSal,256,rs2032582,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,6,SnapKV,256,rs2032582,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,6,AdaSnapKV,256,rs2032582,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,6,H2O,256,rs2032582,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,6,KiaOmni_σ8,256,rs2032582,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,6,KiaOmni_Adaptive,256,rs2032582,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,6,KiaOmni_RatioAdaptive,256,rs2032582,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,6,KiaOmni_Quest,256,rs2032582,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,6,KiaOmni_Gaussian,256,rs2032582,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,6,KiaOmni_AnchorExp,256,rs2032582,Please provide the gene name and the variant type in the text.,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,6,KiaOmni_Scissorhands,256,rs2032582,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,7,FullContext,256,rs1801280,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,7,BlockSal,256,rs1801280,Please do not include the gene name or other information. Please provide the correct rsID for the variant in the text of your response.,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,7,SnapKV,256,rs1801280,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,7,AdaSnapKV,256,rs1801280,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,7,H2O,256,rs1801280,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,7,KiaOmni_σ8,256,rs1801280,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,7,KiaOmni_Adaptive,256,rs1801280,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,7,KiaOmni_RatioAdaptive,256,rs1801280,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,7,KiaOmni_Quest,256,rs1801280,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,7,KiaOmni_Gaussian,256,rs1801280,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,7,KiaOmni_AnchorExp,256,rs1801280,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,7,KiaOmni_Scissorhands,256,rs1801280,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,8,FullContext,256,rs4680,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,8,BlockSal,256,rs4680,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,8,SnapKV,256,rs4680,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,8,AdaSnapKV,256,rs4680,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,8,H2O,256,rs4680,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,8,KiaOmni_σ8,256,rs4680,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,8,KiaOmni_Adaptive,256,rs4680,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,8,KiaOmni_RatioAdaptive,256,rs4680,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,8,KiaOmni_Quest,256,rs4680,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,8,KiaOmni_Gaussian,256,rs4680,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,8,KiaOmni_AnchorExp,256,rs4680,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,8,KiaOmni_Scissorhands,256,rs4680,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,9,FullContext,256,rs776746,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,9,BlockSal,256,rs776746,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,9,SnapKV,256,rs776746,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,9,AdaSnapKV,256,rs776746,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,9,H2O,256,rs776746,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,9,KiaOmni_σ8,256,rs776746,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,9,KiaOmni_Adaptive,256,rs776746,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,9,KiaOmni_RatioAdaptive,256,rs776746,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,9,KiaOmni_Quest,256,rs776746,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,9,KiaOmni_Gaussian,256,rs776746,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,9,KiaOmni_AnchorExp,256,rs776746,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,9,KiaOmni_Scissorhands,256,rs776746,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,10,FullContext,256,rs7412,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,10,BlockSal,256,rs7412,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,10,SnapKV,256,rs7412,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,10,AdaSnapKV,256,rs7412,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,10,H2O,256,rs7412,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,10,KiaOmni_σ8,256,rs7412,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,10,KiaOmni_Adaptive,256,rs7412,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,10,KiaOmni_RatioAdaptive,256,rs7412,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,10,KiaOmni_Quest,256,rs7412,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,10,KiaOmni_Gaussian,256,rs7412,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,10,KiaOmni_AnchorExp,256,rs7412,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,10,KiaOmni_Scissorhands,256,rs7412,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,11,FullContext,256,rs1142345,rs1142345,1.0,1.0,1.0,1.0,,,CORRECT,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,11,BlockSal,256,rs1142345,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,11,SnapKV,256,rs1142345,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,11,AdaSnapKV,256,rs1142345,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,11,H2O,256,rs1142345,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,11,KiaOmni_σ8,256,rs1142345,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,11,KiaOmni_Adaptive,256,rs1142345,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,11,KiaOmni_RatioAdaptive,256,rs1142345,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,11,KiaOmni_Quest,256,rs1142345,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,11,KiaOmni_Gaussian,256,rs1142345,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,11,KiaOmni_AnchorExp,256,rs1142345,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,11,KiaOmni_Scissorhands,256,rs1142345,"If the variant is not in dbSNP, write “not found in dbSNP.” If the variant is not in dbSNP but is in another database, write the identifier from that database. If the variant is not in any database, write “not found in any database.”",0.0,0.0,0.0,0.0,,,NOISE,llm
BioMistral-7B,bio_ruler,bio_niah_single,4096,12,FullContext,256,rs1801133,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,12,BlockSal,256,rs1801133,Please provide the genomic coordinates of the variant. Please provide the gene name. Please provide the gene symbol. Please provide the gene name. Please provide the gene symbol. Please provide the gene name. Please provide the gene symbol. Please provide the gene name. Please provide the gene symbol. Please provide the gene name. Please provide the gene symbol. Please provide the gene name. Please provide the gene symbol. Please provide the gene name. Please provide the gene symbol. Please provide,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,12,SnapKV,256,rs1801133,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,12,AdaSnapKV,256,rs1801133,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,12,H2O,256,rs1801133,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,12,KiaOmni_σ8,256,rs1801133,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,12,KiaOmni_Adaptive,256,rs1801133,"If the variant is not found in dbSNP, write “N/A.” If the variant is not found in the gnomAD database, write “gnomAD N/A.”",0.0,0.0,0.0,0.0,,,REFUSED,llm
BioMistral-7B,bio_ruler,bio_niah_single,4096,12,KiaOmni_RatioAdaptive,256,rs1801133,"If the variant is not found in dbSNP, write “N/A.” If the variant is not found in the gnomAD database, write “gnomAD N/A.”",0.0,0.0,0.0,0.0,,,REFUSED,llm
BioMistral-7B,bio_ruler,bio_niah_single,4096,12,KiaOmni_Quest,256,rs1801133,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,12,KiaOmni_Gaussian,256,rs1801133,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,12,KiaOmni_AnchorExp,256,rs1801133,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,12,KiaOmni_Scissorhands,256,rs1801133,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,13,FullContext,256,rs4633,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,13,BlockSal,256,rs4633,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,13,SnapKV,256,rs4633,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,13,AdaSnapKV,256,rs4633,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,13,H2O,256,rs4633,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,13,KiaOmni_σ8,256,rs4633,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,13,KiaOmni_Adaptive,256,rs4633,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,13,KiaOmni_RatioAdaptive,256,rs4633,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,13,KiaOmni_Quest,256,rs4633,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,13,KiaOmni_Gaussian,256,rs4633,Please do not include the gene name or other information.,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,13,KiaOmni_AnchorExp,256,rs4633,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,13,KiaOmni_Scissorhands,256,rs4633,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,14,FullContext,256,rs7412,rs7412,1.0,1.0,1.0,1.0,,,CORRECT,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,14,BlockSal,256,rs7412,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,14,SnapKV,256,rs7412,,0.0,0.0,0.0,0.0,,,NOISE,auto
